cod_ibge,qnt_produzida,uf
4308508,21600,RS
4309126,21960,RS
4310504,21600,RS
4311601,24480,RS
4312708,54000,RS
4313441,9000,RS
4313466,10584,RS
4313805,2035,RS
4314498,2700,RS
4314704,5550,RS
4315552,24000,RS
4315909,11550,RS
4316204,37950,RS
4320206,38000,RS
4321329,7020,RS
4321857,22440,RS
4321956,37440,RS
4323101,12000,RS
4323507,5378,RS
4300901,4240,RS
4301552,22680,RS
4301701,20778,RS
4301925,4056,RS
4302055,4670,RS
4303806,60672,RS
4304853,12580,RS
4305116,21450,RS
4306130,25725,RS
4306957,17820,RS
4306973,38850,RS
4307005,36180,RS
4307203,9000,RS
4307559,20125,RS
4308052,21450,RS
4308250,20460,RS
4308706,24600,RS
4308904,57330,RS
4310462,42210,RS
4310702,2880,RS
4310900,45000,RS
4311908,9300,RS
4312005,3132,RS
4314134,22140,RS
4314787,16920,RS
4315313,48529,RS
4319703,11368,RS
4320602,9324,RS
4321634,9639,RS
4322905,33000,RS
4301800,74880,RS
4303202,28566,RS
4309803,69700,RS
4311700,46560,RS
4312203,21750,RS
4313607,17820,RS
4316600,80040,RS
4317954,22400,RS
4318424,20130,RS
4318606,64680,RS
4322186,18000,RS
4303301,51696,RS
4303707,16521,RS
4305207,12690,RS
4309506,45000,RS
4312179,17693,RS
4315107,2925,RS
4316303,20430,RS
4316477,10710,RS
4319307,9720,RS
4319372,13356,RS
4320578,19024,RS
4302501,126432,RS
4305009,132240,RS
4306353,4338,RS
4306932,112424,RS
4307831,99650,RS
4309001,220899,RS
4314555,14580,RS
4315958,40493,RS
4317509,129960,RS
4317707,165000,RS
4318903,200831,RS
4319158,228372,RS
4319208,43980,RS
4320321,26603,RS
4322343,15555,RS
4323754,32165,RS
4300208,78000,RS
4300455,20185,RS
4301503,72102,RS
4302584,53372,RS
4305405,96654,RS
4305702,106820,RS
4305871,42900,RS
4305900,130800,RS
4310207,160000,RS
4310413,23925,RS
4313334,55892,RS
4313904,101940,RS
4314308,125520,RS
4317806,120780,RS
4319737,18360,RS
4300471,65001,RS
4301958,10636,RS
4302154,53520,RS
4304705,138732,RS
4305157,11520,RS
4305306,129600,RS
4305850,51300,RS
4310850,20790,RS
4311429,10800,RS
4312955,16200,RS
4313490,16200,RS
4313706,381000,RS
4314456,3600,RS
4316428,12600,RS
4317756,52248,RS
4318457,16200,RS
4319364,19800,RS
4320107,59295,RS
4300059,50460,RS
4303558,19800,RS
4304903,32190,RS
4304952,26400,RS
4305371,31251,RS
4305504,45500,RS
4305975,124800,RS
4306304,25200,RS
4307054,62586,RS
4308854,38430,RS
4309902,44520,RS
4311809,154050,RS
4312138,36168,RS
4312625,15210,RS
4312674,40365,RS
4314100,144197,RS
4314779,113900,RS
4316105,93623,RS
4316733,33540,RS
4317558,13800,RS
4318051,6120,RS
4320503,131200,RS
4320909,46860,RS
4322558,7030,RS
4323358,25080,RS
4323408,29600,RS
4300554,23400,RS
4302220,149448,RS
4302238,127530,RS
4304101,35490,RS
4306106,358650,RS
4307500,202434,RS
4308458,143676,RS
4310009,179820,RS
4310876,71550,RS
4311155,295200,RS
